Name,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
Ishaan,27,Female,78.6,1.65,198,127,66,1.61,938,Yoga,26.8,3.1,3,1,17.92
Krishna,44,Female,45,1.53,199,158,50,0.7,930,Strength,21.9,3.6,4,1,27.74
Arjun,20,Female,103.4,1.53,180,166,56,1.28,631,HIIT,23,3,4,1,19.18
Aanya,51,Male,79.2,1.85,178,147,51,1.52,1355,Strength,23.2,2,4,1,18.95
Arjun,52,Female,40,1.84,\t182,156,56,1.2,1258,Cardio,25,2,4,2,12.32
Aryan,35,Male,75.7,1.61,192,147,52,0.92,1211,Strength,21.2,2.4,3,2,23.19
Aryan,21,Male,76.8,1.75,166,125,74,1.56,1152,Strength,25.1,2.7,3,1,16.66
Ishaan,48,Female,112.6,1.69,160,162,63,0.89,1482,Cardio,22.6,2.5,4,2,12.32
Yuvan,18,Male,73.7,1.78,192,154,73,1.18,851,Strength,27.4,2.6,2,2,21.08
Krishna,18,Female,84,1.71,194,148,52,0.92,621,Strength,28.3,3.4,3,3,17.99
Zara,28,Male,68,1.7,174,155,68,0.74,1464,Yoga,17,2.3,3,2,21.67
Aarav,23,Male,107.6,1.5,,136,71,1.53,1062,Cardio,10,2.3,5,3,23.77
Yuvan,30,Female,54.3,1.82,185,168,66,1.4,1415,,25.4,3.6,3,1,26.4
Riya,18,Female,42.8,1.89,194,162,73,2,736,,22.5,1.5,3,2,18.54
Tia,37,,55.4,1.68,197,,52,1.04,338,Cardio,27.4,3.2,,3,17.71
Ishaan,49,Female,102.4,1.65,185,148,68,1.27,980,Cardio,34.8,2,5,,15.52
Zara,42,Female,95.5,1.95,168,125,72,1.91,632,HIIT,26.1,2,4,1,12.32
Advait,27,Female,58.7,1.98,199,145,52,2,1119,Cardio,23,2.7,2,3,18.99
Yuvan,35,Female,49.7,1.86,161,,62,1.12,867,Strength,15.2,1.8,4,3,12.32
Aanya,24,Female,86.5,1.65,196,169,59,1.08,771,Cardio,27.3,2.1,3,1,12.9
Aryan,44,Female,63.6,1.78,167,129,74,1.34,1165,Yoga,10.7,3.4,4,1,15.73
Kabir,52,Male,58.7,1.58,169,131,53,1.14,900,HIIT,28.5,3.3,3,,19.62
Advait,49,Female,56.6,1.75,198,120,72,1.12,1767,Yoga,23.6,2.6,2,2,34.37
Riya,36,Female,40,1.71,178,169,69,1.3,1519,HIIT,27.5,2.7,4,1,39.74
Aarav,23,Female,67.7,1.73,188,162,54,1.76,954,Yoga,18,3.2,3,1,16.07
Arjun,56,Female,40,1.74,172,146,74,1.43,876,Yoga,26,3.4,2,1,19.63
Vivaan,48,,68,1.69,185,144,68,1.23,695,Yoga,14.2,2.6,2,1,28.93
Tia,24,Male,68.3,1.74,184,161,51,1.9,566,Cardio,27.5,3.5,4,,16.26
Sara,22,Female,99.1,1.72,182,169,62,1.14,1105,Yoga,31.4,3.6,4,1,16.91
Saanvi,20,Female,72.9,1.63,164,156,51,1.11,582,Strength,27.1,3.2,3,2,19.83
Reyansh,44,Female,40,1.68,175,156,74,1.04,1010,Cardio,28.1,1.8,3,3,12.32
Ishaan,33,Female,58.3,1.77,167,153,74,1.41,969,Strength,29.5,2.6,2,1,20.47
Anaya,18,Male,40,1.64,177,134,53,0.98,468,\nStrength,25.6,2.1,3,3,18.78
Zara,59,Male,45.8,1.5,163,137,55,1.98,1306,\tCardio,24,2.9,4,2,26.25
Yuvan,27,Male,52.3,1.75,180,128,61,1.92,931,Strength,15,2.5,4,2,23.23
Zara,33,Female,76.3,1.95,188,125,72,0.95,899,Strength,21.7,2.3,5,1,26.08
Saanvi,47,Male,77.5,1.72,176,151,56,1.39,679,Cardio,13.3,3.5,2,3,24.32
Advait,18,Male,,1.8,197,165,56,0.74,1208,HIIT,26.1,3.3,3,3,12.32
Vihaan,46,Female,40,1.58,177,132,58,1.29,1189,Strength,31.1,2.5,,2,12.73
Krishna,27,Male,96.3,1.61,198,159,70,1.16,1203,Cardio,32.1,3.1,3,1,12.32
Vihaan,34,Female,49.6,1.52,191,,59,1.59,744,HIIT,22.2,1.6,3,1,20.97
Vivaan,45,Male,86.4,1.51,,159,69,1.23,1313,\tCardio,35,3.3,3,3,16.06
Kabir,55,Female,68.4,1.85,175,150,58,1.16,1020,Cardio,29.2,2.5,4,2,22.87
Myra,18,Female,56.9,1.77,183,131,57,1.28,1052,Cardio,20.7,3.5,4,2,18.57
Yuvan,41,Female,51.1,1.94,,137,72,1.23,1084,,16.4,2.3,3,2,16.41
Kabir,24,Male,47.6,1.51,175,120,70,0.78,583,Strength,22.6,1.7,5,1,13.71
Arjun,26,Female,88.8,1.7,193,169,68,1.91,1145,Strength,18.1,3.7,2,2,30.34
Advait,18,,67.5,1.69,177,169,72,1.07,975,,26.2,1.6,4,3,14.08
Myra,29,Male,96.7,1.7,175,141,54,2,880,Yoga,32.9,2.3,2,3,13.16
Zara,26,,55.7,1.99,172,142,68,2,1583,Strength,18.9,3.2,4,1,12.32
Meera,43,Male,112,1.71,166,146,58,1.62,815,HIIT,31.2,2.6,3,1,21.1
Tia,48,Male,75.2,1.72,193,169,59,1.54,1726,Cardio,30.9,1.9,2,,18.64
Myra,29,Female,72,1.66,167,144,68,0.87,1248,HIIT,10,3.6,4,3,17.55
Tia,57,Female,63.6,1.87,170,158,,1.56,840,Strength,23.7,3.6,4,1,12.32
Myra,22,Female,75.7,1.56,194,142,61,1.23,643,Strength,28.8,2.3,3,3,13.93
Aarav,20,Male,59.1,1.62,191,127,54,1.02,995,,26.2,3.4,3,,12.46
Aanya,39,Female,41.3,1.76,175,136,69,1.42,1096,Yoga,24.3,3.2,3,2,15.36
Arjun,41,Male,40,1.77,176,148,65,1.03,1238,Yoga,11.6,1.9,5,1,22.98
Aanya,41,Female,63.7,1.93,195,155,61,1.18,1064,HIIT,21.2,3.4,4,1,15.76
Meera,31,Female,100,1.75,190,169,67,1.46,1573,HIIT,20.8,3.4,4,2,
Meera,20,Male,45,1.68,171,154,74,1.5,1692,Yoga,10,2.4,4,1,12.32
Reyansh,26,Male,47.1,1.61,189,138,52,1.26,1095,Yoga,19.3,3.6,3,3,29.91
Anaya,37,Female,72.1,1.83,164,152,58,1.58,1091,Cardio,34.4,3.3,4,2,16.92
Vihaan,59,Male,57.5,1.81,175,169,58,1.47,1349,Cardio,24.7,2.5,5,2,12.32
Saanvi,22,Male,54.3,1.85,165,144,53,2,1740,\tCardio,26.6,3.7,4,2,20.04
Meera,25,Male,63.9,1.67,178,144,61,1.56,868,Strength,24.8,2.4,3,2,24.51
Krishna,32,Male,56.6,2,190,123,65,1.25,1309,HIIT,14.7,3.5,4,3,17.83
Myra,37,Female,68.9,1.65,171,132,50,1.19,767,Strength,23,,3,3,20.71
Reyansh,29,Female,95.3,1.72,190,169,74,1.49,733,HIIT,29.2,3.7,5,3,20.06
Aryan,30,Female,96.3,2,173,136,74,2,1095,HIIT,20.4,1.5,5,2,25.83
Meera,28,Male,84.4,1.74,\t182,142,52,1.45,1392,Strength,22,2.6,2,1,34.01
Myra,33,Male,60.5,1.54,195,126,56,1.27,1237,Cardio,29.1,3.7,4,2,21.23
Zara,48,Female,49.8,1.69,184,143,56,1.37,,Strength,17.7,2.7,3,3,25.57
Vihaan,32,Male,47.2,1.81,187,129,,1.19,919,HIIT,30.5,1.9,4,2,31.5
Aryan,54,,56.3,1.59,172,169,68,1.47,936,Cardio,19.6,3.1,4,2,18.7
Kabir,49,Male,45,1.84,190,159,53,1.3,864,HIIT,26.5,1.5,4,2,17.11
Arjun,53,Male,87.7,1.84,164,152,53,1.37,1066,Cardio,24.7,2.6,5,2,25.16
Ishaan,54,Female,46.1,1.85,187,162,63,1.35,772,Strength,25.7,3.6,4,1,20.62
Krishna,18,Female,69.8,1.82,178,168,58,1.9,963,HIIT,31.4,3.7,5,2,34.21
Tia,18,Male,79.2,1.77,198,137,66,1.2,1429,Yoga,12.9,3.7,3,2,19.07
Myra,29,Male,60.6,1.76,188,148,50,1.38,676,Strength,30.2,2.5,3,,23.73
Kabir,22,Female,53.3,1.73,172,144,71,1.1,1235,Strength,22.8,2.6,3,1,13.13
Yuvan,20,Male,95.7,1.85,196,136,58,1.44,987,HIIT,23.8,1.5,3,2,15.47
Riya,29,Female,57.4,1.74,198,165,67,1.58,880,Strength,20.9,3.3,4,1,
Yuvan,47,Male,87.3,1.9,194,164,74,1.87,1073,HIIT,23.7,3.5,5,2,20.1
Zara,20,Female,,1.75,193,136,51,0.58,1218,Yoga,28.4,3,4,1,19.66
Kabir,18,Male,79.2,1.66,176,154,72,1.58,1493,Strength,18.1,2.3,3,1,14.27
Zara,18,Male,73.8,1.75,187,149,74,1.64,1065,HIIT,17.7,2.4,3,1,17.79
Vivaan,33,Female,66.3,1.76,164,120,74,1.44,419,,25.4,2.6,3,3,20.67
Ishaan,27,Male,72.8,1.82,162,136,57,1.23,780,HIIT,11.4,3.5,4,3,22.59
Aarav,38,Male,50,1.75,186,135,59,2,695,Strength,23.4,1.6,4,1,49.84
Kabir,29,Female,93.5,1.85,166,167,74,1.01,670,Cardio,23.2,2.6,3,1,19.83
Myra,54,Male,84,1.94,178,133,53,1.47,942,Yoga,30.7,1.5,4,1,16.61
Arjun,37,Female,55.3,1.73,183,134,51,1.1,976,Yoga,31.3,2.8,2,2,16.26
Zara,21,Male,66.6,1.85,189,121,56,0.88,993,HIIT,13.9,3.4,5,1,12.32
Arjun,21,,65.8,1.62,172,127,62,1.35,1307,Cardio,26,3.4,3,1,15.3
Advait,26,Female,59.8,1.6,180,151,58,1.2,611,HIIT,16.4,2.5,3,3,12.63
Riya,42,Female,80.3,1.94,192,169,52,1.72,753,Yoga,24.6,3.5,5,2,33.99
Vivaan,31,Female,129.9,1.7,190,169,69,1.38,735,Strength,10,2.1,3,3,16.07
Saanvi,50,Female,40,1.75,162,169,55,2,1449,Yoga,31.7,3.5,4,3,28.18
Reyansh,51,Female,91.7,1.72,168,137,58,0.86,1529,Cardio,10,1.7,,1,14.15
Reyansh,18,Male,64.8,1.82,169,156,69,1.93,1516,Strength,21.9,3.5,3,2,17.69
Vihaan,54,Male,60.1,1.63,174,159,72,0.52,893,Cardio,18.4,3.6,4,1,20.56
Saanvi,38,Female,59,,169,134,67,1.36,1783,Yoga,24.5,2.4,3,1,12.32
Aryan,37,Male,46.3,1.69,181,141,67,1.64,1445,Strength,20.7,2.5,4,2,19.11
Arjun,21,Male,66.9,1.69,197,149,74,1.37,872,Yoga,16.6,2.6,5,2,33.07
Zara,19,Female,40,1.93,167,158,74,1.19,1265,Yoga,24.7,2.6,4,3,12.32
Saanvi,32,Female,79,1.6,165,149,,1.59,1245,Yoga,,2.2,3,2,18.69
Advait,36,Female,50.1,1.85,199,140,68,0.91,1243,Strength,30.7,2.8,4,2,25.82
Vivaan,23,Male,71.3,1.77,171,134,50,1.34,1239,Cardio,35,2.5,3,3,18.17
Saanvi,45,,68.3,1.75,185,133,65,1.31,1595,,29.1,2.5,4,2,13.23
Riya,39,Female,66.8,1.61,177,127,59,1.64,770,Yoga,28,3.1,4,1,17.16
Aryan,45,Male,53.9,1.68,169,141,71,1.59,1031,Yoga,19.2,2.1,3,3,20.62
Aanya,33,Female,97.1,1.86,166,127,72,1.39,1783,HIIT,11,1.5,4,1,16.27
Vihaan,27,Female,40,1.57,178,169,52,1.32,949,Strength,28.4,3.1,3,2,21.11
Aryan,37,Male,62.1,1.85,196,151,64,1.28,943,HIIT,26.7,3.3,4,1,20.37
Zara,28,Male,60.7,1.73,198,124,70,1.34,1212,Cardio,24.8,2,2,1,20.21
Reyansh,18,Male,46.9,1.84,185,147,65,1.29,1040,HIIT,21.8,1.7,3,1,13
Aryan,18,Female,90.8,1.66,182,134,56,1.77,990,Yoga,10,1.8,4,2,22.03
Yuvan,24,Female,44,1.79,193,164,62,1.84,622,Strength,26.3,3.5,4,2,14.27
Aryan,27,Female,75.1,1.86,175,165,70,1.29,765,,27,3.5,4,2,14.22
Arjun,23,Female,74.2,1.71,199,150,57,1.05,1166,Cardio,34.5,3.3,,1,12.32
Zara,23,Female,58.2,1.85,196,130,57,1.36,582,HIIT,25.7,1.5,4,1,35.08
Ishaan,25,Female,65.9,,180,151,56,1.66,825,Cardio,10,2.5,,1,15.58
Zara,23,Female,78.7,1.68,191,132,70,1.28,1319,,21.1,3.5,2,2,20.39
Vivaan,43,Male,74.2,1.76,188,141,68,0.98,1426,Cardio,21.2,3.1,2,3,20.52
Kabir,18,Male,56.1,2,180,120,57,1.04,1461,HIIT,27.4,2,5,2,12.32
Aryan,45,Female,42.1,1.86,194,129,74,0.91,1176,Strength,22.1,3.6,5,1,33
Vivaan,18,Male,40,1.73,168,121,73,0.64,1153,HIIT,29.9,3.1,2,3,18.62
Ishaan,18,Male,40,1.85,175,144,51,2,1318,,32.7,2,4,2,21.16
Vivaan,20,Male,,1.81,171,168,74,0.75,793,Strength,24.4,2.1,3,2,22.57
Yuvan,22,Female,40,1.75,181,155,50,2,998,Strength,27,1.8,,1,12.82
Aarav,28,Female,107.7,1.99,188,129,55,2,1127,\tYoga,10,2,2,1,17.86
Arjun,18,Female,40,1.8,196,120,70,2,979,Cardio,10,2.6,4,1,20.06
Zara,57,Female,70,1.81,167,154,53,1.3,1149,Yoga,26.6,1.5,3,3,12.32
Aanya,55,Female,63.2,1.59,161,168,69,1.49,1094,Yoga,19,3.6,3,2,17.45
Aryan,50,Male,69.6,1.71,167,169,57,0.98,470,Yoga,27.2,2.7,2,2,20.42
Saanvi,32,Male,57,1.76,170,160,71,1.82,904,Strength,30.9,3.3,4,3,16.01
Tia,20,Female,75.8,1.87,160,163,63,2,988,HIIT,23.5,2.7,4,3,12.32
Saanvi,18,Male,54.7,1.6,167,156,57,1.63,1134,Yoga,22.7,3.4,4,2,15.86
Aanya,30,Male,62.2,1.69,164,134,67,1.24,1783,Cardio,30.3,3.2,3,2,25.59
Zara,18,Male,97.5,2,169,159,68,1.17,782,Strength,24.8,1.8,2,1,42.88
Aarav,31,Female,51,1.56,193,140,64,1.41,1347,Cardio,28.6,3.5,2,2,25.42
Riya,18,Male,50.6,1.89,189,130,66,,1278,HIIT,28.5,3.7,4,2,27.87
Arjun,31,Female,71,1.81,199,158,68,1.87,1228,Strength,29.6,2.7,2,2,14.52
Vivaan,28,Female,70,1.74,198,169,69,2,1468,Cardio,28.4,2.8,4,2,21.91
Myra,23,Male,57.8,1.87,172,142,54,1.46,1741,,28.7,3.5,3,2,13.33
Anaya,48,Male,67.3,1.61,173,139,59,0.86,659,Cardio,20.5,2.7,3,,18.23
Reyansh,52,Female,73.5,1.78,181,162,67,2,1325,Yoga,21.1,2.3,3,3,18.08
Vihaan,18,Male,94.7,1.52,161,141,66,1.4,1446,Yoga,16.7,2.6,3,2,22.4
Myra,47,Male,40,1.89,177,139,69,1.3,902,HIIT,26.7,3.3,3,3,26.2
Yuvan,54,Female,63.5,1.51,192,147,70,1.23,526,Yoga,28.3,2.2,,3,17.05
Anaya,22,Female,60.1,1.71,198,161,70,1.04,533,HIIT,10.3,3.4,5,1,26.74
Sara,43,Male,70.4,1.62,178,140,66,,763,HIIT,29.1,3.4,3,1,17.91
Vivaan,31,Male,40,1.77,181,127,51,0.76,1382,Cardio,15.3,2.6,4,,14.09
Kabir,48,Male,55.5,1.5,183,133,51,0.73,830,Cardio,27.3,2.2,3,3,32.42
Aanya,51,Male,75.7,,163,147,57,1.02,406,Strength,21.8,1.5,3,3,22.86
Reyansh,23,Female,95.6,1.5,196,152,56,0.5,639,Yoga,25.2,3.2,2,1,13.38
Krishna,43,Male,102.5,1.79,190,138,69,1.54,844,Cardio,19.7,3.7,4,2,17.07
Krishna,50,Male,56.6,1.96,196,169,74,2,1299,Strength,24.8,1.6,3,2,20.69
Riya,30,Male,40,1.67,176,120,55,1.39,1710,Cardio,18.2,2.7,3,1,12.32
Zara,25,Female,74.9,1.66,192,138,58,1.73,1766,HIIT,28.7,2.3,5,1,15.98
Vivaan,19,Female,82.8,1.79,192,127,74,1.18,1140,Cardio,10,2.4,4,3,21.95
Vivaan,45,Female,40,1.93,177,141,56,1.44,,Strength,24,3.6,4,1,23.52
Saanvi,41,Female,73.3,1.71,196,158,56,1.36,1234,Strength,30.1,3.2,4,3,25.83
Myra,53,Male,55.3,1.98,177,169,51,0.83,1273,Strength,14.7,2.1,2,2,20.9
Ishaan,35,Male,95.9,1.69,175,129,58,1.22,1674,Cardio,27.5,2.1,3,3,24.01
Myra,33,Male,89.6,1.62,175,137,56,1.09,906,Cardio,23.9,1.6,3,1,25.68
Kabir,21,Male,86.3,1.86,167,143,73,1.26,1783,Cardio,27.1,3.1,3,2,12.93
Yuvan,27,Female,71.3,,168,162,71,1.93,1105,HIIT,28.9,2.7,4,1,12.32
Tia,33,Male,42.7,1.82,196,145,68,1.24,1436,Yoga,26.3,3.7,4,1,42.84
Krishna,33,Female,103.3,1.72,180,162,58,0.66,1104,Yoga,22.6,3.2,2,1,12.42
Meera,33,Male,76.8,1.72,193,126,69,1.26,790,HIIT,31.8,3.3,4,1,25.47
Myra,23,Female,69.1,1.63,198,138,57,2,1549,Yoga,21.4,3.3,2,1,31.27
Aanya,30,Male,75.6,1.82,196,138,74,1.31,925,Cardio,32.4,3.3,3,3,15.35
Aanya,18,Female,42,1.74,197,120,57,2,1236,Cardio,26.6,1.5,3,2,19.62
Sara,56,Male,62.9,1.5,194,153,74,1.85,991,Yoga,23.2,2.4,3,2,32.25
Arjun,22,Female,53.5,1.76,194,137,66,2,1395,Strength,13.1,2.3,5,2,17.16
Anaya,21,Female,90.7,1.75,190,135,54,1.03,1155,Cardio,28,2.3,3,2,12.66
Krishna,21,Male,74.7,1.59,161,169,74,1.08,1379,Yoga,15.2,2.5,3,2,21.53
Aarav,50,Male,82.6,1.71,164,160,63,1.33,1011,Yoga,22.4,3.6,5,2,12.32
Krishna,27,Male,40,1.76,183,125,60,1.04,1783,Yoga,21.9,3.3,4,2,12.32
Kabir,27,Female,70.1,1.58,169,156,63,0.82,797,Cardio,28.1,3.4,3,1,24.04
Kabir,29,Female,40.2,1.7,184,152,70,1.82,744,Strength,13.2,2.6,3,2,18.63
Arjun,19,Female,76.4,1.79,189,132,57,1.41,1414,HIIT,33.3,3.5,3,2,14.21
Krishna,39,Male,78.5,1.59,197,153,71,1.88,1009,Yoga,26,3.7,5,1,16.24
Saanvi,18,,72.1,1.79,194,169,71,1.89,716,\nStrength,16.7,3.2,2,2,12.32
Ishaan,26,Male,61,1.97,172,140,74,1.99,1298,Cardio,21.8,2.6,,2,24.27
Vivaan,20,Female,82.6,1.6,174,149,63,2,775,HIIT,22.9,3.3,2,2,15.06
Anaya,34,Male,91.2,1.5,193,165,61,1.13,905,Strength,24,3.4,4,1,24.8
Tia,18,Male,64.2,1.61,167,147,,1.17,1783,Cardio,25.9,2.1,3,2,12.83
Saanvi,23,Male,46.7,1.65,164,159,68,1.81,1563,Yoga,15.8,2.5,4,2,19.8
Aryan,28,Female,74.2,1.5,191,129,72,1.77,848,Strength,17.3,1.5,3,2,24.11
Anaya,18,Female,64,1.51,176,129,74,1.18,992,Strength,26.7,3.4,5,3,14.98
Aarav,32,Male,52.8,1.61,169,169,70,0.88,1375,Strength,24.2,2.7,5,1,18.1
Aarav,26,Male,,1.77,164,147,56,1.2,1091,Yoga,30.8,1.6,3,3,21.49
Riya,47,Male,40,1.73,170,160,66,1.27,1249,Cardio,22.8,3.6,2,1,26.91
Tia,26,Female,85.8,1.87,188,162,58,1.33,938,HIIT,24.3,,4,2,18.34
Krishna,19,Male,40,1.59,187,152,73,1.52,948,Yoga,27.1,1.6,3,,13.85
Zara,26,Female,86.6,,192,120,59,1.75,1102,HIIT,19,1.8,3,1,17.94
Krishna,39,Male,70.7,1.58,189,163,66,1.69,1146,Yoga,21.9,3.2,3,1,21.17
Aarav,37,Female,40,1.59,190,161,70,1.16,670,,24.5,3.3,4,2,
Reyansh,19,Female,66.7,1.73,172,,71,1.18,589,HIIT,24.9,1.8,3,1,19.24
Ishaan,39,Female,72.1,1.52,172,151,,1.09,1093,HIIT,28.2,2.7,2,1,20.85
Kabir,53,Male,80.5,1.64,173,120,60,1.26,735,Yoga,26.3,,4,2,12.32
Vihaan,41,Male,77,1.5,190,146,56,1.3,1067,Strength,27.5,3.3,4,2,26.26
Arjun,23,Male,117.8,1.88,168,167,55,1.35,1259,Strength,32.3,1.6,3,2,14.24
Anaya,31,Female,76.2,1.64,169,137,72,0.74,1207,Strength,23.3,2.7,,3,40.63
Anaya,50,Female,57.3,1.72,197,133,56,2,950,Yoga,11.1,3.2,2,3,22.6
Vivaan,22,Female,103.1,1.72,168,166,59,1.07,978,HIIT,23.1,1.9,2,2,16.79
Anaya,29,Female,77.4,1.69,179,132,74,1.11,712,Yoga,27,3.5,2,3,16.23
Ishaan,18,Male,84.1,1.78,194,145,64,2,686,Cardio,30.3,3.3,3,3,14.46
Sara,29,Male,40,1.86,180,169,63,1.26,986,Yoga,25.3,1.5,3,1,19.92
Saanvi,42,Male,66,1.6,196,159,52,1.93,1042,Strength,16.4,3.5,4,2,17.81
Vihaan,51,Female,84.6,1.77,197,141,55,1.44,543,HIIT,23.4,2.9,5,3,24.89
Sara,51,Male,100.7,1.75,185,138,73,1.5,703,Strength,25.5,1.8,4,3,15.9
Ishaan,22,Male,58.6,2,165,169,57,2,1402,Strength,30,3.5,4,2,20.99
Arjun,21,Female,57.4,1.74,179,161,73,2,457,HIIT,27.7,2.5,3,1,24.67
Ishaan,21,Male,69.5,1.54,167,158,72,1.28,1044,Yoga,27.9,2.9,2,,14.68
Tia,26,Female,42.2,1.91,174,127,72,1.65,455,Strength,23.6,2.9,3,2,24.27
Yuvan,18,Male,61.3,1.6,191,135,67,1.09,609,,13.7,1.6,2,3,14.7
Arjun,18,Male,66.6,1.62,192,156,58,1.3,1250,Cardio,21.3,3.2,5,1,12.58
Zara,37,Female,94.4,1.7,193,127,70,1.27,1183,HIIT,16.4,3.4,4,1,19.3
Meera,45,Male,111.9,1.73,177,129,54,0.92,1267,Strength,18.3,2.6,4,1,12.32
Vihaan,18,Female,92,1.79,199,169,56,1.77,1105,Strength,14.4,,2,1,20.25
Riya,18,Female,,1.76,176,167,58,1.21,912,Strength,28.4,3.6,2,2,25.72
Reyansh,51,Male,61.1,1.82,165,163,57,1.19,1171,Yoga,31.7,2.5,4,3,45.75
Vihaan,18,Female,96,1.82,198,144,58,1.19,323,Yoga,23.8,1.8,3,1,12.32
Zara,27,Female,89.7,1.67,172,130,64,1.46,729,Yoga,27.7,3.4,4,2,17.56
Kabir,34,Female,61,1.69,190,159,63,0.99,1040,Cardio,23.6,3.6,5,3,18.07
Yuvan,31,Female,75.6,1.57,163,152,71,0.96,668,\tYoga,25.8,2.3,4,1,26.35
Krishna,23,Female,40,1.76,,143,71,1.08,1442,Yoga,25.7,3.3,5,3,12.32
Aarav,54,,46.8,1.67,181,169,74,1.48,,Strength,25.5,1.5,4,1,22.04
Saanvi,19,Female,90.6,1.85,187,131,68,1.67,607,HIIT,27.5,3.3,2,2,19.15
Vihaan,47,Female,90.8,1.67,186,120,74,1.43,506,Strength,32,2.7,3,3,18.39
Advait,33,Female,129.9,1.69,168,152,74,1.61,810,Strength,27.5,3.5,,2,23.37
Tia,50,Female,69.3,,162,126,62,1.33,1138,Strength,25.6,1.5,3,1,22.79
Advait,19,Female,40,1.77,179,139,74,1.22,1173,Yoga,27.7,1.6,3,3,19.2
Anaya,27,Male,112.6,1.79,174,167,60,0.69,1282,Strength,28.6,1.5,2,1,22.96
Arjun,49,Male,54.2,1.64,182,147,64,0.95,914,,19,3.2,2,2,23.01
Myra,46,Male,108.9,1.86,162,165,74,1.42,936,Strength,22.2,1.9,4,2,27.29
Saanvi,37,,69.4,1.61,173,169,66,1.09,948,Strength,28.3,1.5,2,1,12.32
Ishaan,52,Male,40,1.6,194,,73,1.48,1156,Yoga,23.4,2.3,4,2,27.66
Yuvan,26,Male,43.2,1.8,185,149,52,1.87,1019,Cardio,23.5,2.1,4,2,27.59
Vihaan,45,,68.7,1.7,179,126,74,1.05,1161,Cardio,22.9,3.1,4,3,24.13
Reyansh,18,Female,61.1,1.74,191,159,69,1.36,1311,HIIT,15.6,3.4,2,2,16.61
